Folder	Organism	Probability
143	Lactobacillus_casei	0.95887
144	Lactobacillus_rhamnosus	0.68712
184	Lactobacillus_paracasei	0.70410
73	Lactobacillus_paracasei	0.63610
96	Lactobacillus_rhamnosus	0.85423
F106	Lactobacillus_casei	0.98041
F108	Pediococcus_acidilactici	0.93255
F123	Lactobacillus_rhamnosus	0.80361
F125	Lactobacillus_paracasei	0.92919
F146	Lactobacillus_plantarum	0.90654
F149	Lactobacillus_rhamnosus	0.78746
F165	Lactobacillus_rhamnosus	0.68219
F176	Leuconostoc_suionicum	0.53578
F193	Lactobacillus_rhamnosus	0.90454
F196	Lactobacillus_rhamnosus	0.99614
F203	Lactobacillus_rhamnosus	0.63914
F21	Lactobacillus_casei	0.75421
F211	Lactobacillus_paracasei	0.79546
F26	Lactobacillus_paracasei	0.73837
F36	Lactobacillus_rhamnosus	0.64561
F54	Lactobacillus_paracasei	0.90962
F74	Pediococcus_acidilactici	0.96789
F80	Pediococcus_acidilactici	0.96884
F86	Lactobacillus_paracasei	0.90849
Y1	Lactobacillus_casei	0.86308
